,KABKOT,month,year,longitude,latitude,tp,time
200,JAKARTA TIMUR,5,2018,106.90999999999997,-6.2600000000000025,2.72900873422626,2018-05-01
205,JAKARTA TIMUR,6,2018,106.90999999999997,-6.2600000000000025,2.801564387977146,2018-06-01
210,JAKARTA TIMUR,7,2018,106.90999999999997,-6.2600000000000025,0.4172210097313103,2018-07-01
215,JAKARTA TIMUR,8,2018,106.90999999999997,-6.2600000000000025,0.6065815985202845,2018-08-01
220,JAKARTA TIMUR,9,2018,106.90999999999997,-6.2600000000000025,1.5742332190275279,2018-09-01
225,JAKARTA TIMUR,10,2018,106.90999999999997,-6.2600000000000025,2.798403821885536,2018-10-01
230,JAKARTA TIMUR,11,2018,106.90999999999997,-6.2600000000000025,9.915548935532183,2018-11-01
235,JAKARTA TIMUR,12,2018,106.90999999999997,-6.2600000000000025,5.999778471887085,2018-12-01
240,JAKARTA UTARA,1,2018,106.89166666666664,-6.1250000000000036,7.2320078158130086,2018-01-01
245,JAKARTA UTARA,2,2018,106.89166666666664,-6.1250000000000036,10.76956196998533,2018-02-01
250,JAKARTA UTARA,3,2018,106.89166666666664,-6.1250000000000036,7.927974040309309,2018-03-01
255,JAKARTA UTARA,4,2018,106.89166666666664,-6.1250000000000036,6.390615024914268,2018-04-01
260,JAKARTA UTARA,5,2018,106.89166666666664,-6.1250000000000036,2.924291081726558,2018-05-01
265,JAKARTA UTARA,6,2018,106.89166666666664,-6.1250000000000036,2.912306313713446,2018-06-01
270,JAKARTA UTARA,7,2018,106.89166666666664,-6.1250000000000036,0.352437527229408,2018-07-01
275,JAKARTA UTARA,8,2018,106.89166666666664,-6.1250000000000036,0.5183648690581372,2018-08-01
280,JAKARTA UTARA,9,2018,106.89166666666664,-6.1250000000000036,1.2231129718323743,2018-09-01
285,JAKARTA UTARA,10,2018,106.89166666666664,-6.1250000000000036,2.104285787790988,2018-10-01
290,JAKARTA UTARA,11,2018,106.89166666666664,-6.1250000000000036,7.854611122359607,2018-11-01
295,JAKARTA UTARA,12,2018,106.89166666666664,-6.1250000000000036,5.350711091111136,2018-12-01
1,JAKARTA BARAT,1,2019,106.74999999999996,-6.158333333333336,7.881096194808621,2019-01-01
6,JAKARTA BARAT,2,2019,106.74999999999996,-6.158333333333336,8.907423724109927,2019-02-01
11,JAKARTA BARAT,3,2019,106.74999999999996,-6.158333333333336,8.941612541675381,2019-03-01
16,JAKARTA BARAT,4,2019,106.74999999999996,-6.158333333333336,8.844006024300905,2019-04-01
21,JAKARTA BARAT,5,2019,106.74999999999996,-6.158333333333336,2.699439637362993,2019-05-01
26,JAKARTA BARAT,6,2019,106.74999999999996,-6.158333333333336,0.9417491964996336,2019-06-01
31,JAKARTA BARAT,7,2019,106.74999999999996,-6.158333333333336,0.7421710466345385,2019-07-01
36,JAKARTA BARAT,8,2019,106.74999999999996,-6.158333333333336,0.6964313238859628,2019-08-01
41,JAKARTA BARAT,9,2019,106.74999999999996,-6.158333333333336,0.33729707201324116,2019-09-01
46,JAKARTA BARAT,10,2019,106.74999999999996,-6.158333333333336,1.1383194103837277,2019-10-01
51,JAKARTA BARAT,11,2019,106.74999999999996,-6.158333333333336,2.78810678049917,2019-11-01
56,JAKARTA BARAT,12,2019,106.74999999999996,-6.158333333333336,10.483941963563483,2019-12-01
61,JAKARTA PUSAT,1,2019,106.84999999999997,-6.200000000000003,8.050773367285606,2019-01-01
66,JAKARTA PUSAT,2,2019,106.84999999999997,-6.200000000000003,9.499291814863458,2019-02-01
71,JAKARTA PUSAT,3,2019,106.84999999999997,-6.200000000000003,9.537777341901952,2019-03-01
76,JAKARTA PUSAT,4,2019,106.84999999999997,-6.200000000000003,9.9525062739845,2019-04-01
81,JAKARTA PUSAT,5,2019,106.84999999999997,-6.200000000000003,2.7367127686738733,2019-05-01
86,JAKARTA PUSAT,6,2019,106.84999999999997,-6.200000000000003,0.8788255974650695,2019-06-01
91,JAKARTA PUSAT,7,2019,106.84999999999997,-6.200000000000003,0.7050214707851631,2019-07-01
96,JAKARTA PUSAT,8,2019,106.84999999999997,-6.200000000000003,0.6351368129254044,2019-08-01
101,JAKARTA PUSAT,9,2019,106.84999999999997,-6.200000000000003,0.2866576984524916,2019-09-01
106,JAKARTA PUSAT,10,2019,106.84999999999997,-6.200000000000003,1.3285711780189875,2019-10-01
111,JAKARTA PUSAT,11,2019,106.84999999999997,-6.200000000000003,3.268009833991256,2019-11-01
116,JAKARTA PUSAT,12,2019,106.84999999999997,-6.200000000000003,10.8810789883137,2019-12-01
121,JAKARTA SELATAN,1,2019,106.8083333333333,-6.283333333333336,8.062062226235756,2019-01-01
126,JAKARTA SELATAN,2,2019,106.8083333333333,-6.283333333333336,10.103604694207307,2019-02-01
131,JAKARTA SELATAN,3,2019,106.8083333333333,-6.283333333333336,9.411540379126544,2019-03-01
136,JAKARTA SELATAN,4,2019,106.8083333333333,-6.283333333333336,10.21841115628641,2019-04-01
141,JAKARTA SELATAN,5,2019,106.8083333333333,-6.283333333333336,2.9201918902496424,2019-05-01
146,JAKARTA SELATAN,6,2019,106.8083333333333,-6.283333333333336,1.0341040169199787,2019-06-01
151,JAKARTA SELATAN,7,2019,106.8083333333333,-6.283333333333336,0.7819574636717915,2019-07-01
156,JAKARTA SELATAN,8,2019,106.8083333333333,-6.283333333333336,0.8516324994465495,2019-08-01
161,JAKARTA SELATAN,9,2019,106.8083333333333,-6.283333333333336,0.42744772508743983,2019-09-01
166,JAKARTA SELATAN,10,2019,106.8083333333333,-6.283333333333336,1.6331093696256211,2019-10-01
171,JAKARTA SELATAN,11,2019,106.8083333333333,-6.283333333333336,3.453464154153826,2019-11-01
176,JAKARTA SELATAN,12,2019,106.8083333333333,-6.283333333333336,11.796619494756115,2019-12-01
181,JAKARTA TIMUR,1,2019,106.90999999999997,-6.2600000000000025,8.35430586338029,2019-01-01
186,JAKARTA TIMUR,2,2019,106.90999999999997,-6.2600000000000025,10.5179660432038,2019-02-01
191,JAKARTA TIMUR,3,2019,106.90999999999997,-6.2600000000000025,10.106060385703675,2019-03-01
