time,latitude,longitude,tp
2018-01-01,-6.8500000000000005,106.44999999999997,18.62523868680044
2018-01-01,-6.8500000000000005,106.49999999999997,17.790754884481917
2018-01-01,-6.8500000000000005,106.54999999999997,17.13011145591778
2018-01-01,-6.8500000000000005,106.59999999999997,16.469468027353745
2018-01-01,-6.8500000000000005,106.64999999999996,15.80882459878971
2018-01-01,-6.8500000000000005,106.69999999999996,15.148181170225678
2018-01-01,-6.8500000000000005,106.74999999999996,14.487537741661642
2018-01-01,-6.8500000000000005,106.79999999999995,13.812724687159681
2018-01-01,-6.8500000000000005,106.84999999999995,13.13791163265771
2018-01-01,-6.8500000000000005,106.89999999999995,12.463098578155737
2018-01-01,-6.8500000000000005,106.94999999999995,11.788285523653766
2018-01-01,-6.8500000000000005,106.99999999999994,11.113472469151793
