,KABKOT,month,year,longitude,latitude,pm2p5,time,RH,t2m,tp,ispa,pm10,so2
32,JAKARTA SELATAN,9,2018,106.8083333333333,-6.283333333333336,63.18135163077298,2018-09-01,68.33463541666617,27.88484191894537,1.6083645013471652,3303,89.24362685143997,5.247474372194241
33,JAKARTA SELATAN,10,2018,106.8083333333333,-6.283333333333336,62.742290170744106,2018-10-01,72.98998514811173,28.315149943033884,2.73478425418336,2841,88.79238532581293,4.820439179589167
34,JAKARTA SELATAN,11,2018,106.8083333333333,-6.283333333333336,61.56208265939446,2018-11-01,82.4014333089192,27.389500935872395,9.326378380258612,3339,87.39723528217188,5.103789835496588
35,JAKARTA SELATAN,12,2018,106.8083333333333,-6.283333333333336,44.5944151679827,2018-12-01,81.02153015136712,27.34357706705728,5.998232463995623,2918,63.547329679872746,4.297566027844593
36,JAKARTA TIMUR,1,2018,106.90999999999995,-6.2600000000000025,35.63293074693113,2018-01-01,81.97994262695318,26.768200439453107,7.734732776880238,40245,51.02963089479739,3.553939879329421
37,JAKARTA TIMUR,2,2018,106.90999999999995,-6.2600000000000025,41.73317215716553,2018-02-01,86.19705200195301,26.40752929687501,10.535441070794842,4317,59.61227353405227,3.829679441850941
38,JAKARTA TIMUR,3,2018,106.90999999999995,-6.2600000000000025,48.05865415254573,2018-03-01,84.0645959472655,26.93895654296876,9.216191381215626,5103,68.33288531519554,4.826437122016939
39,JAKARTA TIMUR,4,2018,106.90999999999995,-6.2600000000000025,63.39686696084931,2018-04-01,83.70105957031258,27.40525732421873,6.761695519089608,5767,89.96547698103684,5.675094164887524
40,JAKARTA TIMUR,5,2018,106.90999999999995,-6.2600000000000025,70.39173479720876,2018-05-01,80.17780029296866,27.77840795898437,2.72900873422626,5811,100.02715012784032,6.331971833017283
41,JAKARTA TIMUR,6,2018,106.90999999999995,-6.2600000000000025,70.92453046908663,2018-06-01,79.66820312499976,27.565483154296896,2.801564387977146,4358,100.81304773024344,6.167107322629137
42,JAKARTA TIMUR,7,2018,106.90999999999995,-6.2600000000000025,70.7484531735281,2018-07-01,72.42914794921808,27.26264648437509,0.4172210097313103,3026,100.62092070484356,6.307093170711413
43,JAKARTA TIMUR,8,2018,106.90999999999995,-6.2600000000000025,58.21087632984597,2018-08-01,71.12969238281181,27.439567138671965,0.6065815985202845,3650,82.71282266214679,5.073853126412137
44,JAKARTA TIMUR,9,2018,106.90999999999995,-6.2600000000000025,60.77084006669006,2018-09-01,69.8134875488275,27.770170166015703,1.574233219027528,3798,85.8170289287006,4.981318042844406
45,JAKARTA TIMUR,10,2018,106.90999999999995,-6.2600000000000025,60.94763335233053,2018-10-01,73.89265380859331,28.258418701171912,2.798403821885536,3826,86.23443877316667,4.5773530904209805
46,JAKARTA TIMUR,11,2018,106.90999999999995,-6.2600000000000025,59.93669367480445,2018-11-01,82.56404052734365,27.42225854492188,9.915548935532184,4778,85.0748095015959,4.880330056030073
47,JAKARTA TIMUR,12,2018,106.90999999999995,-6.2600000000000025,44.33112192447897,2018-12-01,81.08244018554683,27.404537841796856,5.999778471887085,3826,63.16350779271086,4.166790639419074
48,JAKARTA UTARA,1,2018,106.89166666666664,-6.125000000000004,33.76188105974584,2018-01-01,81.90591837565104,27.12807352701821,7.232007815813008,26403,48.38613048501636,3.2288428128923816
49,JAKARTA UTARA,2,2018,106.89166666666664,-6.125000000000004,38.77821572098285,2018-02-01,85.72419942220057,26.738907267252603,10.76956196998533,6953,55.48643758185926,3.429167297874188
50,JAKARTA UTARA,3,2018,106.89166666666664,-6.125000000000004,44.14379841814283,2018-03-01,83.61494649251303,27.29235392252603,7.927974040309309,8457,62.80017800600972,4.36518019810084
51,JAKARTA UTARA,4,2018,106.89166666666664,-6.125000000000004,57.53768066441109,2018-04-01,83.49428507486992,27.73052286783852,6.390615024914268,8403,81.67092576153955,5.052211632350493
52,JAKARTA UTARA,5,2018,106.89166666666664,-6.125000000000004,64.0215908968393,2018-05-01,80.52937520345044,28.127111409505204,2.924291081726558,9130,91.02227705979264,5.629813871529167
53,JAKARTA UTARA,6,2018,106.89166666666664,-6.125000000000004,65.33710828864955,2018-06-01,79.96092936197897,27.90224365234376,2.912306313713446,8576,92.90759987518844,5.520720436333153
54,JAKARTA UTARA,7,2018,106.89166666666664,-6.125000000000004,65.91923478577938,2018-07-01,73.58475952148368,27.582918090820385,0.352437527229408,7746,93.76687897836877,5.72759421757969
55,JAKARTA UTARA,8,2018,106.89166666666664,-6.125000000000004,55.10416899470525,2018-08-01,72.07616577148357,27.706906127929773,0.5183648690581372,9020,78.3092924332936,4.6451031170338055
56,JAKARTA UTARA,9,2018,106.89166666666664,-6.125000000000004,57.55877705719186,2018-09-01,70.82703959147064,28.07819803873704,1.2231129718323743,8772,81.28752461663316,4.601042048897473
57,JAKARTA UTARA,10,2018,106.89166666666664,-6.125000000000004,58.06437695691657,2018-10-01,74.2073852539058,28.56385742187504,2.104285787790988,9509,82.13854318681445,4.2093392644982215
58,JAKARTA UTARA,11,2018,106.89166666666664,-6.125000000000004,56.46708364300495,2018-11-01,81.99826354980468,27.7613818359375,7.854611122359607,10598,80.15185229205612,4.465709873062877
59,JAKARTA UTARA,12,2018,106.89166666666664,-6.125000000000004,41.5361749627073,2018-12-01,80.90794372558595,27.704403889973936,5.350711091111136,9376,59.224383562255696,3.804287125903858
60,JAKARTA BARAT,1,2019,106.74999999999996,-6.158333333333336,39.81925331587677,2019-01-01,83.68302205403643,27.29481953938806,7.881096194808621,1688,56.89054900750643,3.7945456766339833
61,JAKARTA BARAT,2,2019,106.74999999999996,-6.158333333333336,46.25484828836395,2019-02-01,84.65773010253902,27.398811035156296,8.907423724109927,2185,65.68062006964358,3.921295612126688
62,JAKARTA BARAT,3,2019,106.74999999999996,-6.158333333333336,45.53866398933766,2019-03-01,83.80189717610678,27.355988972981795,8.941612541675381,2423,64.69846928523849,4.7851078983856805
63,JAKARTA BARAT,4,2019,106.74999999999996,-6.158333333333336,55.69224475760499,2019-04-01,83.95999857584643,27.85996073404951,8.844006024300905,2188,78.5555604940506,5.540710504514565
64,JAKARTA BARAT,5,2019,106.74999999999996,-6.158333333333336,62.19458659294393,2019-05-01,81.01414286295575,28.12758138020836,2.699439637362993,1660,88.42644114813599,6.281206711435535
65,JAKARTA BARAT,6,2019,106.74999999999996,-6.158333333333336,65.69465882103998,2019-06-01,74.71313374837233,28.23869038899743,0.9417491964996336,846,93.41577234817744,6.286930973794834
66,JAKARTA BARAT,7,2019,106.74999999999996,-6.158333333333336,55.3676403658445,2019-07-01,71.21834106445282,27.79681803385424,0.7421710466345385,1019,78.88631358020554,5.680235899203868
