,KABKOT,month,geometry,longitude,latitude,year,so2,time
10,JAKARTA BARAT,11,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,90.07327763259873,2020-10-31 14:24:00
11,JAKARTA BARAT,12,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,78.11836128333951,2020-11-30 14:24:00
12,JAKARTA PUSAT,1,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,76.07308460738047,2020-01-01 09:36:00
13,JAKARTA PUSAT,2,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,72.75977038988997,2020-02-01 09:36:00
14,JAKARTA PUSAT,3,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,96.36101464166187,2020-02-29 14:24:00
15,JAKARTA PUSAT,4,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,111.83425114140474,2020-03-31 14:24:00
16,JAKARTA PUSAT,5,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,124.03146482730419,2020-04-30 14:24:00
17,JAKARTA PUSAT,6,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,120.06736457373071,2020-05-31 14:24:00
18,JAKARTA PUSAT,7,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,121.95073847403894,2020-06-30 14:24:00
19,JAKARTA PUSAT,8,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,106.34186847025994,2020-07-31 14:24:00
20,JAKARTA PUSAT,9,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,101.55574260663961,2020-08-31 14:24:00
21,JAKARTA PUSAT,10,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,97.3087845211295,2020-09-30 14:24:00
22,JAKARTA PUSAT,11,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,92.48174601536968,2020-10-31 14:24:00
23,JAKARTA PUSAT,12,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,81.01236790848834,2020-11-30 14:24:00
24,JAKARTA SELATAN,1,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,80.75442074120761,2020-01-01 09:36:00
