,KABKOT,month,geometry,longitude,latitude,year,pm2p5,time
10,JAKARTA BARAT,11,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,50.09610769487054,2020-10-31 14:24:00
11,JAKARTA BARAT,12,"MULTIPOINT ((106.69999999999996 -6.150000000000003), (106.69999999999996 -6.100000000000003), (106.74999999999996 -6.200000000000003), (106.74999999999996 -6.150000000000003), (106.79999999999995 -6.200000000000003), (106.79999999999995 -6.150000000000003))",106.74999999999996,-6.158333333333336,2020.0,40.67986435359466,2020-11-30 14:24:00
12,JAKARTA PUSAT,1,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,39.852894888762485,2020-01-01 09:36:00
13,JAKARTA PUSAT,2,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,42.14011397015362,2020-02-01 09:36:00
14,JAKARTA PUSAT,3,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,48.208208555185664,2020-02-29 14:24:00
15,JAKARTA PUSAT,4,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,57.630825790985384,2020-03-31 14:24:00
16,JAKARTA PUSAT,5,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,62.86734407012866,2020-04-30 14:24:00
17,JAKARTA PUSAT,6,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,64.32428078303201,2020-05-31 14:24:00
18,JAKARTA PUSAT,7,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,62.98931851489567,2020-06-30 14:24:00
19,JAKARTA PUSAT,8,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,60.12334556260278,2020-07-31 14:24:00
20,JAKARTA PUSAT,9,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,58.63493848323835,2020-08-31 14:24:00
21,JAKARTA PUSAT,10,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,58.56369335729111,2020-09-30 14:24:00
22,JAKARTA PUSAT,11,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,51.33428903055447,2020-10-31 14:24:00
23,JAKARTA PUSAT,12,POINT (106.84999999999997 -6.200000000000003),106.84999999999995,-6.200000000000003,2020.0,42.27993329012722,2020-11-30 14:24:00
24,JAKARTA SELATAN,1,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,41.159228028886126,2020-01-01 09:36:00
25,JAKARTA SELATAN,2,"MULTIPOINT ((106.74999999999996 -6.250000000000003), (106.79999999999995 -6.350000000000002), (106.79999999999995 -6.3000000000000025), (106.79999999999995 -6.250000000000003), (106.84999999999997 -6.3000000000000025), (106.84999999999997 -6.250000000000003))",106.8083333333333,-6.283333333333336,2020.0,43.948205929024226,2020-02-01 09:36:00
