time,latitude,longitude,so2
2018-01-01,-6.8500000000000005,106.44999999999997,57.99576347911174
2018-01-01,-6.8500000000000005,106.49999999999997,60.160993911039114
2018-01-01,-6.8500000000000005,106.54999999999997,62.3262243429665
2018-01-01,-6.8500000000000005,106.59999999999997,64.49145477489391
2018-01-01,-6.8500000000000005,106.64999999999996,66.65668520682128
2018-01-01,-6.8500000000000005,106.69999999999996,68.82191563874868
2018-01-01,-6.8500000000000005,106.74999999999996,70.98714607067605
2018-01-01,-6.8500000000000005,106.79999999999995,71.76051665915028
2018-01-01,-6.8500000000000005,106.84999999999995,72.53388724762331
2018-01-01,-6.8500000000000005,106.89999999999995,73.30725783609637
2018-01-01,-6.8500000000000005,106.94999999999995,74.0806284245694
2018-01-01,-6.8500000000000005,106.99999999999994,74.85399901304243
