,KABKOT,month,year,longitude,latitude,pm10,time
220,JAKARTA TIMUR,9,2018,106.90999999999997,-6.2600000000000025,85.8170289287006,2018-09-01
225,JAKARTA TIMUR,10,2018,106.90999999999997,-6.2600000000000025,86.23443877316667,2018-10-01
230,JAKARTA TIMUR,11,2018,106.90999999999997,-6.2600000000000025,85.0748095015959,2018-11-01
235,JAKARTA TIMUR,12,2018,106.90999999999997,-6.2600000000000025,63.16350779271086,2018-12-01
240,JAKARTA UTARA,1,2018,106.89166666666664,-6.1250000000000036,48.38613048501636,2018-01-01
245,JAKARTA UTARA,2,2018,106.89166666666664,-6.1250000000000036,55.48643758185926,2018-02-01
250,JAKARTA UTARA,3,2018,106.89166666666664,-6.1250000000000036,62.80017800600972,2018-03-01
255,JAKARTA UTARA,4,2018,106.89166666666664,-6.1250000000000036,81.67092576153955,2018-04-01
260,JAKARTA UTARA,5,2018,106.89166666666664,-6.1250000000000036,91.02227705979264,2018-05-01
265,JAKARTA UTARA,6,2018,106.89166666666664,-6.1250000000000036,92.90759987518844,2018-06-01
270,JAKARTA UTARA,7,2018,106.89166666666664,-6.1250000000000036,93.76687897836875,2018-07-01
275,JAKARTA UTARA,8,2018,106.89166666666664,-6.1250000000000036,78.3092924332936,2018-08-01
280,JAKARTA UTARA,9,2018,106.89166666666664,-6.1250000000000036,81.28752461663316,2018-09-01
285,JAKARTA UTARA,10,2018,106.89166666666664,-6.1250000000000036,82.13854318681445,2018-10-01
290,JAKARTA UTARA,11,2018,106.89166666666664,-6.1250000000000036,80.15185229205612,2018-11-01
295,JAKARTA UTARA,12,2018,106.89166666666664,-6.1250000000000036,59.224383562255696,2018-12-01
1,JAKARTA BARAT,1,2019,106.74999999999996,-6.158333333333336,56.89054900750643,2019-01-01
6,JAKARTA BARAT,2,2019,106.74999999999996,-6.158333333333336,65.68062006964358,2019-02-01
