time,latitude,longitude,d2m
2018-01-01,-6.8500000000000005,106.44999999999997,21.962684326171996
2018-01-01,-6.8500000000000005,106.49999999999997,21.729864501953216
2018-01-01,-6.8500000000000005,106.54999999999997,21.63040893554694
2018-01-01,-6.8500000000000005,106.59999999999997,21.53095336914066
2018-01-01,-6.8500000000000005,106.64999999999996,21.43149780273444
2018-01-01,-6.8500000000000005,106.69999999999996,21.33204223632822
2018-01-01,-6.8500000000000005,106.74999999999996,21.232586669921943
2018-01-01,-6.8500000000000005,106.79999999999995,21.215638427734405
2018-01-01,-6.8500000000000005,106.84999999999995,21.198690185546866
2018-01-01,-6.8500000000000005,106.89999999999995,21.181741943359384
2018-01-01,-6.8500000000000005,106.94999999999995,21.164793701171902
2018-01-01,-6.8500000000000005,106.99999999999994,21.147845458984364
