time,latitude,longitude,pm10
2018-01-01,-6.8500000000000005,106.44999999999997,41.69309876011989
2018-01-01,-6.8500000000000005,106.49999999999997,42.89681073317958
2018-01-01,-6.8500000000000005,106.54999999999997,44.10052270623927
2018-01-01,-6.8500000000000005,106.59999999999997,45.304234679298965
2018-01-01,-6.8500000000000005,106.64999999999996,46.507946652358655
2018-01-01,-6.8500000000000005,106.69999999999996,47.711658625418345
2018-01-01,-6.8500000000000005,106.74999999999996,48.915370598478034
2018-01-01,-6.8500000000000005,106.79999999999995,50.01935685792484
2018-01-01,-6.8500000000000005,106.84999999999995,51.123343117371554
2018-01-01,-6.8500000000000005,106.89999999999995,52.227329376818275
2018-01-01,-6.8500000000000005,106.94999999999995,53.33131563626499
2018-01-01,-6.8500000000000005,106.99999999999994,54.43530189571171
