,name,month,longitude,latitude,year,pm2p5,time
61,Jagakarsa,2,106.82499999999996,-6.325000000000002,2020.0,44.25511297956324,2020-02-01 09:36:00
62,Jagakarsa,3,106.82499999999996,-6.325000000000002,2020.0,50.228237608187,2020-02-29 14:24:00
63,Jagakarsa,4,106.82499999999996,-6.325000000000002,2020.0,60.78864132745131,2020-03-31 14:24:00
64,Jagakarsa,5,106.82499999999996,-6.325000000000002,2020.0,66.92606252123392,2020-04-30 14:24:00
65,Jagakarsa,6,106.82499999999996,-6.325000000000002,2020.0,68.20251014794204,2020-05-31 14:24:00
66,Jagakarsa,7,106.82499999999996,-6.325000000000002,2020.0,66.98220717549333,2020-06-30 14:24:00
67,Jagakarsa,8,106.82499999999996,-6.325000000000002,2020.0,63.220575480546664,2020-07-31 14:24:00
68,Jagakarsa,9,106.82499999999996,-6.325000000000002,2020.0,60.71592403931633,2020-08-31 14:24:00
69,Jagakarsa,10,106.82499999999996,-6.325000000000002,2020.0,59.68701584652175,2020-09-30 14:24:00
70,Jagakarsa,11,106.82499999999996,-6.325000000000002,2020.0,52.580610806836944,2020-10-31 14:24:00
71,Jagakarsa,12,106.82499999999996,-6.325000000000002,2020.0,43.540646135764405,2020-11-30 14:24:00
72,Kalideres,1,106.69999999999996,-6.125000000000003,2020.0,37.03374670880658,2020-01-01 09:36:00
73,Kalideres,2,106.69999999999996,-6.125000000000003,2020.0,39.4313515765054,2020-02-01 09:36:00
74,Kalideres,3,106.69999999999996,-6.125000000000003,2020.0,44.46789121370573,2020-02-29 14:24:00
75,Kalideres,4,106.69999999999996,-6.125000000000003,2020.0,54.15401551189744,2020-03-31 14:24:00
76,Kalideres,5,106.69999999999996,-6.125000000000003,2020.0,59.67897620232968,2020-04-30 14:24:00
77,Kalideres,6,106.69999999999996,-6.125000000000003,2020.0,61.59707450474112,2020-05-31 14:24:00
78,Kalideres,7,106.69999999999996,-6.125000000000003,2020.0,60.832706475129534,2020-06-30 14:24:00
79,Kalideres,8,106.69999999999996,-6.125000000000003,2020.0,58.47198907282778,2020-07-31 14:24:00
80,Kalideres,9,106.69999999999996,-6.125000000000003,2020.0,56.82341413552392,2020-08-31 14:24:00
81,Kalideres,10,106.69999999999996,-6.125000000000003,2020.0,56.54918284747555,2020-09-30 14:24:00
82,Kalideres,11,106.69999999999996,-6.125000000000003,2020.0,48.49635400446358,2020-10-31 14:24:00
83,Kalideres,12,106.69999999999996,-6.125000000000003,2020.0,39.19399683138751,2020-11-30 14:24:00
84,Kebayoran Baru,1,106.79999999999995,-6.250000000000003,2020.0,40.93334249203683,2020-01-01 09:36:00
85,Kebayoran Baru,2,106.79999999999995,-6.250000000000003,2020.0,43.69808179157302,2020-02-01 09:36:00
86,Kebayoran Baru,3,106.79999999999995,-6.250000000000003,2020.0,49.7971914299732,2020-02-29 14:24:00
87,Kebayoran Baru,4,106.79999999999995,-6.250000000000003,2020.0,60.31079842057869,2020-03-31 14:24:00
88,Kebayoran Baru,5,106.79999999999995,-6.250000000000003,2020.0,66.31759692510369,2020-04-30 14:24:00
89,Kebayoran Baru,6,106.79999999999995,-6.250000000000003,2020.0,67.83353165396116,2020-05-31 14:24:00
